"genus","species","is_exotic"
"Trifolium","Trifolium ochroleucon",0
"Trifolium","Trifolium pratense",0
"Trifolium","Trifolium purpureum",0
"Trifolium","Trifolium repens",0
"Trifolium","Trifolium scabrum",0
"Trifolium","Trifolium sp.",0
"Trifolium","Trifolium sp. 1",0
"Trifolium","Trifolium sp. 2",0
"Trifolium","Trifolium stellatum",0
"Trifolium","Trifolium striatum",0
"Trigonella","Trigonella gladiata",0
"Tuberaria","Tuberaria guttata",0
"Tuberaria","Tuberaria sp.",0
"Ulmus","Ulmus glabra",0
"Ulmus","Ulmus minor",0
"Ulmus","Ulmus procera",0
"Umbelliferae","Umbelliferae",0
"Urospermum","Urospermum picroides",0
"Urtica","Urtica dioica",0
"Valerianella","Valerianella locusta",0
"Valerianella","Valerianella sp.",0
"Velezia","Velezia rigida",0
"Verbascum","Verbascum sp.",0
"Verbascum","Verbascum sp.1",0
"Verbascum","Verbascum sp.2",0
"Verbascum","Verbascum thapsus",0
"Verbena","Verbena officinalis",0
"Veronica","Veronica arvensis",0
"Veronica","Veronica chamaedrys",0
"Veronica","Veronica hederifolia",0
"Veronica","Veronica officinalis",0
"Veronica","Veronica sp.",0
"Veronica","Veronica verna",0
"Vicia","Vicia cassubica",0
"Vicia","Vicia cracca",0
"Vicia","Vicia grandiflora",0
"Vicia","Vicia hirsuta",0
"Vicia","Vicia hybrida",0
"Vicia","Vicia lathyroides",0
"Vicia","Vicia minima",0
"Vicia","Vicia sativa",0
"Vicia","Vicia sativa subsp. incisa",0
"Vicia","Vicia sepium",0
"Vicia","Vicia sp.",0
"Vicia","Vicia tenuifolia",0
"Vicia","Vicia tenuifolia subsp. dalmatica",0
"Vicia","Vicia tetrasperma",0
"Vicia","Vicia villosa",0
"Vicia","Vicia villosa subsp. varia",0
"Viola","Viola alba",0
"Viola","Viola macedonica",0
"Viola","Viola reichenbachiana",0
"Viola","Viola riviniana",0
"Viola","Viola sp.",0
"Viscaria","Viscaria atropurpurea",0
"Vitis","Vitis vinifera",1
"Vulpia","Vulpia ciliata",0
"Vulpia","Vulpia muralis",0
"Vulpia","Vulpia myuros",0
"Xanthium","Xanthium spinosum",1
"Xanthium","Xanthium strumarium",0
"Xeranthemum","Xeranthemum cylindraceum",0
"Xeranthemum","Xeranthemum inapertum",0
"Ziziphus","Ziziphus jujuba",1
